True_Label,Predicted,Sample
A,A,"-83,53,-24,66"
B,B,"-88,-60,-91,66"
A,A,"-33,43,-6,48"
B,B,"-40,90,61,-98"
A,A,"75,4,55,-13"
A,A,"-19,66,-1,43"
A,A,"67,74,0,42"
B,B,"49,-56,-10,-60"
A,A,"-75,-52,61,-19"
A,A,"71,97,52,-10"
A,A,"1,-39,86,-44"
B,B,"-84,-42,-86,71"
A,A,"34,55,17,25"
B,B,"-64,-17,29,-88"
A,A,"93,27,74,-32"
B,A,"-79,59,-6,20"
A,A,"24,42,32,10"
A,A,"47,-69,-9,51"
A,A,"-99,-96,65,-23"
A,A,"-18,88,-33,75"
A,A,"9,-44,5,37"
A,A,"-43,-55,-1,43"
B,B,"-18,81,70,-67"
A,A,"99,59,4,38"
A,A,"-14,26,52,-10"
B,B,"-8,-72,-63,65"
B,A,"63,-26,-5,64"
B,B,"-4,-71,-93,39"
A,A,"-23,88,-25,67"
A,A,"13,64,23,19"
B,B,"-39,51,-78,-24"
A,A,"-46,-45,99,-57"
A,A,"-77,65,1,41"
A,A,"87,-80,-47,89"
A,A,"-58,-94,-28,70"
B,B,"65,89,21,94"
B,A,"-28,-20,-23,93"
A,A,"8,-73,99,-57"
B,A,"44,35,-53,75"
A,A,"3,-16,91,-49"
B,B,"-1,-92,7,-70"
B,B,"71,-27,8,-91"
A,A,"-27,-49,6,36"
A,A,"25,-53,-1,43"
B,B,"-44,-85,-5,-53"
B,A,"26,57,82,-37"
A,A,"63,56,81,-39"
B,B,"-26,-58,57,18"
